from,to,population
Jaunpur Sultanate,Sultanate of Bengal,3997717.9643554688
Kingdom of the Franks,West Franks,3994972.398736298
Stateless & unmapped,Qing Dynasty,3967670.7925613397
Aztec Triple Alliance,Spanish Empire,3967014.529252112
Hoysala Kingdom,Vijayanagara Empire,3910395.3335065246
German Empire,French Fourth Republic,3907461.7580838203
Russian Empire,Republic of Finland,3903256.806896329
French Consulate,Muhammad Ali dynasty,3900840.4212560654
Wu,Yue,3893640.7507234076
Pala Empire,Gahadavala Dynasty,3862405.70892334
Stateless & unmapped,Median Kingdom,3855554.735385119
Inca Empire,Spanish Empire,3850311.3148414716
Macedonian Empire,Ptolemaic Kingdom,3820536.93474336
Stateless & unmapped,Maitraka Dynasty,3804812.404260516
First Hellenic Republic,Kingdom of Greece,3797097.2399230003
Indo-Scythians,Kushan Empire,3796899.81319499
Kingdom of Sardinia,Kingdom of Italy,3795045.7131414413
Asuka Japan,Nara Japan,3794344.041220188
Chandela Kingdom,Tughlaq Dynasty,3792774.6911076307
Tughlaq Dynasty,Sultanate of Bengal,3778807.0027923584
Socialist Federal Republic of Yugoslavia,Republic of Croatia,3754498.4042093754
Gorkha Kingdom,Nepal,3747847.3961648643
Gurjara-Pratihara Dynasty,Chaulukya Dynasty,3736256.170386553
Almohad Caliphate,Marinid Sultanate,3718996.472750187
Ghurid Dynasty,Mongol Empire,3716202.9707469605
Harsha's Empire,Khadga Dynasty,3711556.7791998386
Mongol Empire,Chagatai Khanate,3707741.9442119524
Union of Soviet Socialist Republics,Republic of Armenia,3700494.735760689
Stateless & unmapped,Minyue,3693946.8141937433
Stateless & unmapped,Bahmani Sultanate,3693488.317276001
Kingdom of Bohemia,Kingdom of Spain,3686974.057548523
Socialist Federal Republic of Yugoslavia,Bosnia and Herzegovina,3683721.93914032
Indo-Greeks,Indo-Scythians,3658053.358282035
Abbasid Caliphate,Samanid Empire,3631271.133064192
British Africa,State of Eritrea,3577476.4385552406
Oyo Empire,Stateless & unmapped,3566110.6413862705
Tang Dynasty,Southern Chu,3558462.39093896
Stateless & unmapped,Harsha's Empire,3553995.2629116774
Gurjara-Pratihara Dynasty,Paramara Dynasty,3548209.1272661686
Later Yan,Liu Song Dynasty,3537578.185538307
German Africa,French Africa,3530770.758785248
Mongol Khanate,Qing Dynasty,3529443.3046631664
Ottoman Empire,North Yemen,3521445.031331897
Union of Soviet Socialist Republics,Republic of Lithuania,3513966.8673114777
Ming Dynasty,Mongol Khanate,3513731.930216275
Norman England,(Kingdom of England),3485293.8375930786
Kingdom of Spain,(Habsburg Monarchy),3484634.2067489624
Stateless & unmapped,Gurjara-Pratihara Dynasty,3475034.3692331314
Vijayanagara Empire,Nayaks of Madurai,3469256.169555664
Great Seljuk Empire,Mongol Empire,3466302.0149497204
Chalukya Dynasty,Stateless & unmapped,3459016.96396327
Kingdom of the Franks,East Franks,3452327.4319447353
Stateless & unmapped,Republic of Indonesia,3445370.245465219
Han Dynasty,Cao Cao,3445013.1943882704
Southern Chu,Northern Song,3419662.432911709
Stateless & unmapped,Golconda Sultanate,3395920.1595287323
Swedish Empire,United Kingdoms of Sweden and Norway,3388710.723508328
Bahmani Sultanate,Bijapur Sultanate,3360976.963241577
Ottoman Empire,Second Syrian Republic,3358038.26689893
Russian Empire,Georgia,3354709.756812811
Kingdom of Prussia,Russian Empire,3339810.040699005
Achaemenid Empire,Thirtieth Dynasty of Egypt,3314823.0138121964
Yuan Dynasty,Joseon,3299474.820007324
Stateless & unmapped,Rashtrakuta Dynasty,3298753.931605935
Polish-Lithuanian Commonwealth,(Habsburg Monarchy),3296990.5722351074
Union of Soviet Socialist Republics,Republic of Moldova,3292838.144683838
Khadga Dynasty,Pala Empire,3289014.970684409
Kashmir and Jammu,Republic of India,3288749.6994592696
French Africa,Central African Republic,3288202.746030152
Thirtieth Dynasty of Egypt,Ptolemaic Kingdom,3280804.680147106
Stateless & unmapped,Oyo Empire,3276406.178759396
Ahmadnagar Sultanate,Mughal Empire,3264748.250732422
Nanyue,Han Dynasty,3263426.953606646
Qi,Han Dynasty,3250575.06294209
Sultanate of Aceh,Republic of Indonesia,3238036.329907179
Macedonian Empire,Maurya Empire,3230858.00785045
Hungarian Nationalists,Czechoslovakia,3223671.2713127136
Chagatai Khanate,Timurid Empire,3218275.854601465
Western Chalukya Empire,Kakatiya Dynasty,3210306.5724971294
Kingdom of Afghanistan,Afghanistan,3205490.858626485
Western Chalukya Empire,Stateless & unmapped,3187065.869313717
Shu Han,Western Jin,3164474.7839744985
Brandenburg-Prussia,Kingdom of Prussia,3139894.7824656963
Sena Dynasty,Stateless & unmapped,3132619.2335984707
Neo-Babylonian Empire,Achaemenid Empire,3124219.8375722785
Dzungar Khanate,Qing Dynasty,3118562.864137821
Pandya Empire,Stateless & unmapped,3112358.3524271846
Denmark-Norway,Denmark,3091799.0215969086
Stateless & unmapped,Russian Empire,3081676.892063829
Chola Empire,Hoysala Kingdom,3064664.1353149414
British Africa,Republic of Cameroon,3049785.0191955566
Kingdom of Great Britain,Republic of Yemen,3030761.126584828
United Kingdoms of Sweden and Norway,Kingdom of Norway,3024941.231459439
Twenty-sixth Dynasty of Egypt,Achaemenid Empire,3024765.041952948
Stateless & unmapped,Zhou Dynasty,3009072.7625969946
Neo-Assyrian Empire,Assyrian Egypt,3004759.7629632726
(Habsburg Monarchy),French Consulate,3002180.0185546875
British Colonial Empire,British Raj,2983476.063448906
Empire of Haiti,Republic of Haiti,2976848.883255005
Sultanate of Malacca,Dutch East Indies,2971322.6929397583
Kingdom of Great Britain,United Arab Emirates,2970114.546675384
Chola Empire,Kakatiya Dynasty,2969619.7613737583
Western Satraps,Satavahana Dynasty,2967770.1460266113
Stateless & unmapped,Greek City-States,2944233.150706062
Stateless & unmapped,Umayyad Caliphate,2941277.000264112
Ottoman Empire,Principality of Bulgaria,2930153.4283561707
Stateless & unmapped,Jaunpur Sultanate,2928717.3008117676
Qing Dynasty,Empire of Japan,2922662.6744565964
Vakataka Kingdom,Kadamba Empire,2918452.312627852
Kakatiya Dynasty,Tughlaq Dynasty,2914638.944565892
Ottoman Empire,Safavid Dynasty,2911556.5747295655
People's Socialist Republic of Albania,Republic of Albania,2910779.387857437
Kanva Dynasty,Satavahana Dynasty,2910701.3093795776
Golden Horde,Blue Horde,2882979.8024353683
Kadamba Empire,Chalukya Dynasty,2879296.268694937
Burgundian Kingdom,Kingdom of the Franks,2879241.8707831204
Stateless & unmapped,Chauhan Dynasty,2868572.3276519775
Tang Dynasty,Southern Han,2867370.00189662
Visigothic Kingdom,Umayyad Caliphate,2857636.04244332
Electorate of Saxony,Duchy of Warsaw,2845502.118286133
Kannauj-Varman Dynasty,Gurjara-Pratihara Dynasty,2831953.7821350098
Regency of Algiers,French Africa,2819547.4715104103
