from,to,population
Principality of Antioch,Ayyubid Sultanate,157535.14755249023
Pagan Kingdom,Sukhothai Kingdom,157505.16794586182
Taifa of Badajoz,Kingdom of Portugal,157399.21460151672
Stateless & unmapped,Kampili Kingdom,157207.45068359375
Lohara Dynasty,Chagatai Khanate,156749.98201677203
Principality of Salerno,Norman Italy,156674.56741333008
Uyunid Emirate,Hamdanid Emirates,156566.78036070615
Carthage,Stateless & unmapped,156453.20053005157
Stateless & unmapped,Kara-Khitans,156137.96615931392
Stateless & unmapped,British Raj,156023.31461387873
Stateless & unmapped,Ghana Empire,156011.17702059075
West Franks,County of Maine,155671.62968444824
Gojoseon,Han Dynasty,155429.33778179562
Srivijaya,Stateless & unmapped,155367.4951404445
Armenian Kingdom of Cilicia,Ramadanid Emirate,155198.93795406818
Kingdom of Serbia,Kingdom of Syrmia,155138.27667236328
Denmark-Norway,(Holy Roman Empire),155023.45889282227
Stateless & unmapped,Kingdom of Italy,154795.73554229736
Holy Roman Empire Minor States,Austrian Empire,154627.0408115387
Paphlagonia,Kingdom of Pontus,154238.7566711426
Kanva Dynasty,Indo-Scythians,154098.16735839844
Comtat Venaissin,French Consulate,153761.12628173828
Timurid Empire,Khanate of Khiva,153753.17457684875
Achaean League,Roman Republic,153551.07150573732
Ottoman Empire,Republic of Venice,153548.3257780075
County of Ribagorza,Kingdom of Castile,153256.8132019043
British Colonial Empire,Barbados,153097.65185546875
Ottoman Empire,Cretan State,153058.27669525146
Galicia-Volhynia,Grand Duchy of Lithuania,153009.9309463501
Duchy of Silesia,Duchy of Opole,152687.3390197754
Achaemenid Empire,Greek City-States,152521.42941322326
Lan Na Kingdom,Lan Na,152228.77237987518
Stateless & unmapped,Khazaria,151645.39545651153
(Kingdom of England),County of Armagnac,151078.73385620117
Turk Shahis,Abbasid Caliphate,150948.48506993055
Stateless & unmapped,Classic Veracruz Culture,150735.12708473206
Kingdom of Lysimachus,Paphlagonia,150709.57787704468
Duchy of Milan,Holy Roman Empire Minor States,150575.04052734375
Denmark-Norway,Holy Roman Empire Minor States,150268.22789764404
Kingdom of Poland,Stateless & unmapped,150263.0513508208
Republic of Pisa,Republic of Genoa,149976.9060497284
Khmer Empire,Nguyễn lords,149741.18586730957
Stateless & unmapped,Haripuñjaya,149205.86707735062
Sultanate of Muscat and Oman,Kingdom of Great Britain,149105.0476935506
Kievan Rus',Principality of Polotsky,148894.24008649588
Chagatai Khanate,Tughlaq Dynasty,148875.90348815918
Stateless & unmapped,Kingdom of Georgia,148717.15034341812
Kievan Rus',Principality of Peremyshl,148584.121925354
Holy Roman Empire,Kingdom of Sicily,148482.25231170654
Cyprus Condominium,Byzantine Empire,148378.38780975342
Avar Khaganate,Old Great Bulgaria,148211.7586984113
Kingdom of Hawaï'i,United States of America,147938.7329211235
Haripuñjaya,Khmer Empire,147272.35948467255
(Habsburg Monarchy),Swiss Confederation,146830.29618120193
Stateless & unmapped,Gojoseon,146524.65963826442
Assyrian Egypt,Median Kingdom,146435.35947914142
Stateless & unmapped,Astrakhan Khanate,146079.8272779733
(Habsburg Monarchy),Kingdom of Württemberg,146054.00756835938
Crown of Aragon,County of Foix,145503.56232452393
Phoenician Colonies,Phoenicia,145377.12741203303
Ifat Sultanate,Adal Sultanate,145210.8444267437
Qing Dynasty,Stateless & unmapped,145131.3153336048
English Colonial Empire,British Empire,145117.41015625
Greco-Bactrian Kingdom,Parthian Empire,145104.3493743803
County of Savoy,Swiss Confederation,144348.00449973345
Kingdom of Gordyene,Roman Empire,144315.1036529541
Kakatiya Dynasty,Yadava Dynasty,144308.63945007324
Almohad Caliphate,Kingdom of Portugal,144296.60296821594
Qing Dynasty,Union of Soviet Socialist Republics,144066.05025726557
Majapahit,Balinese Kingdom,144019.332988739
Caliphate of Córdoba,Taifa of Valencia,143979.35412597656
Kingdom of Spain,(Holy Roman Empire),143890.83137512207
Pomerania,(Kingdom of Denmark),143583.97449299693
Mughal Empire,Safavid Dynasty,143498.33287662268
Eastern Roman Empire,Kingdom of the Gepids,143343.36698640883
Mughal Empire,Nepal,142936.83178710938
Stateless & unmapped,Teotihuacan,142804.8737487793
Kingdom of Egypt,State of Israel,142637.16381072998
Afsharid Iran,Emirate of Bukhara,142544.90512561798
Armenian Kingdom of Cilicia,Ilkhanate,142459.85306167603
Serbian Despots,Serbian Empire,142316.87797261775
Visigothic Kingdom,Aquitaine,141044.52208709717
Duchy of Silesia,Duchy of Głogów,140898.59100914001
Pagan Kingdom,Shan States,140885.17160724849
Zhou Dynasty,Qin,140651.05470427126
Elam,Median Kingdom,140647.9024978638
Denmark-Norway,Republic of Iceland,140549.45131206512
Byzantine Empire,Republic of Venice,140128.63071918488
Crimean Khanate,Small Horde,140054.82156143337
Abbasid Caliphate,Georgia,139907.1861615181
Almoravid Dynasty,Stateless & unmapped,139603.1936756343
Abbasid Caliphate,Qarmatians,139553.40402145684
Kuwait,Sultanate of Muscat and Oman,139515.94591522217
Taifa of Córdoba,Almohad Caliphate,139494.6686706543
Holy Roman Empire Minor States,Free City of Lübeck,139478.3254699707
Dutch East Indies,Stateless & unmapped,139453.584723711
Mahdids,Stateless & unmapped,139335.46321710944
Zhou Dynasty,Later Zhou,139283.79588359594
Afsharid Iran,Sikh Empire,139146.5400390625
Duchy of Opole,Duchy of Racibórz,139079.03369140625
Kingdom of Pamplona,County of Ribagorza,138855.60653686523
Turks,Tang Dynasty,138765.93620044366
Caliphate of Córdoba,Taifa of Almería,138572.89874267578
French Louisiana,French Second Republic,138297.94721770287
Kapisa,Stateless & unmapped,138274.85693359375
Kingdom of France,County of Nevers,138241.10678100586
Kingdom of the Iberians,Byzantine Empire,137751.8165998459
Republic of Peru,Republic of Chile,137681.66668617725
Rashidun Caliphate,Stateless & unmapped,137677.41821432114
Spanish Empire,Oriental Republic of Uruguay,137655.100091964
British Colonial Empire,British Empire,137172.09326171875
Stateless & unmapped,Small Horde,136858.76453495026
Stateless & unmapped,Bamana Empire,136816.60612773895
Holy Roman Empire Minor States,House of Valois-Anjou,136582.68116760254
(Kingdom of England),Stateless & unmapped,136401.64814913273
Ceylon,Jaffna kingdom,136230.3502591811
Kingdom of Sweden,(Holy Roman Empire),136196.37555009127
Byzantine Empire,Principality of Achaea,136169.4221830368
Vandals,Stateless & unmapped,135779.40018081665
(Macedonian Empire),Ptolemaic Kingdom,135758.12711715698
Kingdom of Adiabene,Sasanian Empire,135570.2239265442
Almoravid Dynasty,Taifa of Córdoba,135335.19243621826
Baekje,Goguryeo,135170.0780029297
Kingdom of Mrauk U,Stateless & unmapped,135149.7632265091
First Hellenic Republic,Stateless & unmapped,135065.75762367249
Golden Horde,Timurid Empire,134669.7951876372
Western Roman Empire,Ripuarian Franks,134644.01070833206
Stateless & unmapped,Later Mayan City-States,134481.78221726418
Stateless & unmapped,Ifat Sultanate,134330.42506204545
Kingdom of Bhutan,Republic of India,134314.68316328526
Stateless & unmapped,Kuwait,134264.70657289028
Stateless & unmapped,Principality of Terebovlia,134057.07529449463
(Macedonian Empire),Illyrian Kingdom,134024.4653506279
Kingdom of Lysimachus,Antigonid Macedonia,133905.30660629272
Empire of Japan,People's Republic of China,133753.96157073975
Danelaw,(Kingdom of England),133520.98594665527
Kingdom of Serbia,Serbian Despots,133461.58896619081
Kingdom of Navarre,Crown of Aragon,132978.03872680664
Stateless & unmapped,Qocho Kingdom,132942.04639018327
Maratha Empire,Mughal Empire,132251.43627929688
Shaybanids,Khanate of Bukhara,131926.3323325999
Parthian Empire,Kingdom of Gordyene,131735.57291755668
Kingdom of the Franks,Viking settlements,131459.9682381451
Stateless & unmapped,Kingdom of Kush,130815.69418056756
Duchy of Bavaria,House of Habsburg,130741.98981189728
Stateless & unmapped,Turk Shahis,130721.2776203826
Kashmir,Utpala Dynasty,129981.57630839944
Kingdom of the Gepids,Eastern Roman Empire,129678.63802659512
Kingdom of Sophene,Roman Empire,129440.19498252869
Stateless & unmapped,Kingdom of Dali,129429.56833648682
Bagratid Armenia,Kingdom of Vaspurakan,129392.78498164564
Aquitaine,Duchy of Gascony,129321.1220664978
(Holy Roman Empire),Swiss Confederation,129068.43466872722
Principality of Mingrelia,Russian Empire,128991.63598632812
Jin,Qi,128898.65999755859
Hamdanid Emirates,County of Tripoli,128859.4043750763
Dauphiné,Kingdom of France,128731.99704742432
Kingdom of Armenia,Huns,128465.98463058472
Maratha Empire,Stateless & unmapped,128428.40512084961
Great Moravia,Stateless & unmapped,128123.4168548584
County of Berga,Crown of Aragon,128096.30696105957
Norse,Scandinavian minor kingdoms,128057.98762314022
Zheng,Han,128045.24711398482
Republic of Pisa,Giudicato of Arborea,127998.96166610718
Byzantine Empire,Principality of Antioch,127921.62284386158
Duchy of Bavaria,(Habsburg Monarchy),127047.94360351562
Talpur Dynasty,British Raj,126952.93157550693
Second Bulgarian Empire,Nicaean Empire,126512.00927734375
French Consulate,Grand Duchy of Hesse,126472.47497558594
New France,French Louisiana,126402.96791690588
Kingdom of Denmark,Kingdom of Sweden,126205.26858573034
Chagatai Khanate,Four Oirats,126103.35821792483
County of Tripoli,Mamluk Sultanate,126001.7151184082
French Consulate,French Africa,125766.52403450012
Georgia,Republic of Azerbaijan,125723.66369628906
County of Foix,Kingdom of Spain,125421.30776977539
Principality of Turov and Pinsk,Mongol Empire,125282.14362335205
Indo-Scythians,Sasanian Empire,125046.28067016602
Kingdom of Prussia,Swiss Confederation,124944.853515625
Principality of Kiev,Principality of Turov and Pinsk,124942.55352783203
Lu,Song,124779.59393768314
Ryazan,Tsardom of Russia,124592.88537979126
Stateless & unmapped,Kingdom of Sarawak,124531.30076169968
Ghaznavid Empire,Lohara Dynasty,124343.68561437726
Janapada of Anga,Magadha - Haryanka dynasty,124100.42883300781
(Holy Roman Empire),Republic of Genoa,124029.10179138184
Principality of Abkhazia,Russian Empire,123927.97535896301
Holy Roman Empire Minor States,Republic of Florence,123591.44659423828
Second Bulgarian Empire,Kingdom of Hungary,123406.05445098877
Magyars,Principality of Hungary,123309.28205871582
Ilkhanate,Empire of Trebizond,123308.86178970337
Lu,Han Dynasty,123067.28313581944
Zhou Dynasty,Stateless & unmapped,123002.08583450317
Afsharid Iran,Khanate of Khiva,122419.18205976486
Dutch Ceylon,British Empire,122233.72114944458
Stateless & unmapped,Caucasian Albania,122079.07139208025
Kingdom of Khotan,Eastern Kara-Khanids,121979.80704605952
Later Liang,Northern Wei,121839.76657439768
Durrani Empire,Talpur Dynasty,121833.74172209948
West Franks,County of Anjou,121447.66223144531
Hittites,(Phoenician Empire),121378.88223266602
Holy Roman Empire Minor States,Stateless & unmapped,121207.44605827332
Stateless & unmapped,Sasanian Empire,121178.7377964221
County of Périgord,Kingdom of France,121033.98095703125
Kingdom of Vaspurakan,Byzantine Empire,120809.16424163058
Wu,Chu,120791.20519471166
Negeri Sembilan,British Colonial Empire,120678.83039855957
Stateless & unmapped,Norse,120623.93720065802
Holy Roman Empire,House of Luxembourg,120262.78079223633
Holy Roman Empire Minor States,Electorate of Brandenburg,120231.37036132812
Mongol Empire,Grand Principality of Moscow,120120.1549987793
Giudicato of Cagliari,Republic of Pisa,120063.80994415283
Peloponnesian League,Greek City-States,119985.29013175966
New Kingdom of Egypt,Philistia,119489.26826477051
Stateless & unmapped,Portuguese Colonies,119406.96575832367
British Colonial Empire,French Second Republic,119378.26861572266
Holy Roman Empire Minor States,Principality of Schwarzburg-Sonderhausen,118967.814453125
Stateless & unmapped,Pomerania,118911.09553642571
Shaybanids,Kazakh Khanate,118620.21075312793
Stateless & unmapped,Xionites,118529.34504785389
Stateless & unmapped,Janapada of Anga,117379.07241210942
Armenian Kingdom of Cilicia,Mamluk Sultanate,117103.11129760742
(Delhi Sultanate),Yadava Dynasty,117034.11778259277
Duchy of Bavaria,Grand Duchy of Baden,116673.57470703125
Stateless & unmapped,Mamluk Sultanate,116476.83004593849
Kingdom of Italy,Duchy of Spoleto,116454.73753738403
Mamluk Sultanate,Armenian Kingdom of Cilicia,116327.05988311768
Moghulistan,Tümed,116309.89909196645
Principality of Achaea,Byzantine Empire,116042.57769870758
Byzantine Empire,Grand Principality of Serbia,115978.59619140625
Duchy of Gascony,Kingdom of Pamplona,115929.96855926514
Greco-Bactrian Kingdom,Stateless & unmapped,115525.75102316482
County of Ribagorza,Kingdom of Aragon,115204.64476203918
Adal Sultanate,Sultanate of Harar,114865.79025330767
Republic of Korea,Stateless & unmapped,114792.49794387817
Zheng,Zhao,114751.34611816409
Stateless & unmapped,Sultanate of Aceh,114599.54240822792
Brythons,Anglo-Saxon England,114352.07348632812
Byzantine Empire,Duchy of Naples,114261.50512695312
Georgia,Stateless & unmapped,114099.05113244057
Livonian Conference,Polish-Lithuanian Commonwealth,113912.15454877913
Stateless & unmapped,Joseon,113457.29281044006
Omani Slave Coast,British Africa,113424.0530154705
Sultanate of Brunei,Kingdom of Sarawak,113392.8958325386
Caliphate of Córdoba,Taifa of Carmona,113244.05844116211
West Franks,County of Barcelona,113235.12921142578
House of Jagiellon,Grand Principality of Moscow,112468.22973632812
Stateless & unmapped,State of Israel,112199.47479629517
Byzantine Empire,Albanian Principalities,112174.70488739014
Kingdom of Kartli,Kingdom of Georgia,112021.24804830551
Stateless & unmapped,Qajar Dynasty,111719.51730701327
Ottoman Empire,Kingdom of Kartli,111579.10594034195
Hadhramaut,Himyarite Kingdom,111370.75746154785
Stateless & unmapped,Tenochtitlan,111340.62731933594
Stateless & unmapped,Swaziland,111307.5188407898
Stateless & unmapped,Haudenosaunee,111031.70746919804
County of Béarn,County of Foix,110870.28936767578
Tangier International Zone,Morocco,110698.6650390625
Kingdom of Croatia,Stateless & unmapped,110458.98564529419
Parthian Empire,Kingdom of Adiabene,110044.078339386
Patriarchate of Aquileia,Republic of Venice,109948.08367919922
Duchy of Racibórz,(Kingdom of Bohemia),109941.06512451172
Stateless & unmapped,Banate of Bosnia,109746.01616287231
Viking settlements,East Franks,109707.90934172273
New France,French Consulate,109362.80845069885
Tibetan Empire,Kara-Khanids,109165.66609127447
Abbasid Caliphate,Kingdom of the Iberians,108784.83140808344
Holy Roman Empire Minor States,Principality of Hohenzollern-Sigmaringen,108648.60180664062
Golden Horde,Ryazan,108606.93797111511
Principality of Polotsky,Principality of Minsk,107892.21635168046
Federated Republic of Mexico,United States of America,107488.69927047193
Teutonic Order,Livonian Conference,107277.61831692606
Western Göktürks,Tang Dynasty,107240.32392974943
Later Zhou,Jin,107083.71189657452
Almoravid Dynasty,Taifa of Valencia,106793.00409424305
Byzantine Empire,Beylik of Aydin,106722.89865875244
Albanian Principalities,Ottoman Empire,106563.73078536987
Mongol Empire,Principality of Smolensk,106394.59609222412
Stateless & unmapped,Viking settlements,106341.25411914103
Nogai Horde,Kazakh Khanate,106001.55177205801
Byeonhan,Silla,105978.67659759521
Taifa of Algeciras,Almohad Caliphate,105675.67126464844
Stateless & unmapped,Buyid Dynasty,105675.45458000898
Principality of Serbia,First Bulgarian Empire,105628.2267074585
Xu,Song,105424.25419628024
Stateless & unmapped,Sultanate of Maguindanao,105227.89420753717
County of Holland,Duchy of Bavaria,105138.76001808047
Stateless & unmapped,Duchy of Naples,104445.392578125
Crown of Aragon,Stateless & unmapped,104276.95932769775
Late Pallava Empire,Vakataka Kingdom,103911.32220458984
Sena Dynasty,Eastern Ganga Kingdom,103856.9761352539
Spanish Empire,Republic of Costa Rica,103844.15432079136
Holy Roman Empire Minor States,Principality of Lippe,103670.68505859375
Kingdom of Great Britain,Turkish Republic of Northern Cyprus,103307.42642724514
Paramara Dynasty,Chaulukya Dynasty,103077.71412658691
Antigonid Macedonia,Achaean League,102557.52147903439
East Franks,Stateless & unmapped,102505.16748046875
Western Moghulistan,Oirat Confederation,102485.94021975994
German Empire,Kingdom of Belgium,102378.81812286377
Mamluk Sultanate,Stateless & unmapped,102277.57552480698
Yadava Dynasty,Hoysala Kingdom,102233.51908874512
Western Jin,Protectorate of the Western Regions,101850.30148397014
Hyksos,Stateless & unmapped,101530.48394767568
Stateless & unmapped,Kingdom of Syrmia,101492.78839111328
(Holy Roman Empire),Electorate of Saxony,101304.16598510742
Stateless & unmapped,Kingdom of Hawaï'i,101289.72924232483
Protectorate of the Western Regions,Western Göktürks,101284.1643204242
Stateless & unmapped,Lakhmid Kingdom,101208.96788358688
Qasim Khanate,Tsardom of Russia,101026.54281234741
Early Balinese Kingdoms,Majapahit,100813.53335762024
Hoysala Kingdom,Yadava Dynasty,100707.64590454102
Papal States,(Habsburg Monarchy),100561.44219970703
Stateless & unmapped,Old Great Bulgaria,100377.88410310447
Stateless & unmapped,Ottoman Tripolitania,100219.74184574932
Stateless & unmapped,Korean Jin,100080.04565570368
