year,polity_id,country_iso,population
800,Kingdom of the Franks,CHE,383310.1582671082
800,Kingdom of the Franks,CZE,22381.264474769523
800,Kingdom of the Franks,DEU,2469154.099857177
800,Kingdom of the Franks,ESP,175208.175437477
800,Kingdom of the Franks,FRA,4838861.850559801
800,Kingdom of the Franks,HRV,300235.61193748645
800,Kingdom of the Franks,HUN,357300.6306875509
800,Kingdom of the Franks,ITA,1523964.5011823552
800,Kingdom of the Franks,LIE,1283.3390176784458
800,Kingdom of the Franks,LUX,24312.80397479857
800,Kingdom of the Franks,NLD,332664.40874225146
800,Kingdom of the Franks,SMR,634.5292403109215
800,Kingdom of the Franks,SRB,2026.1767683710796
800,Kingdom of the Franks,SVK,3106.2803385819925
800,Kingdom of the Franks,SVN,187268.58039720228
800,Emirate of Córdoba,ESP,2275150.719594667
800,Emirate of Córdoba,PRT,452583.2417632543
800,Khmer Empire,KHM,21999.152779966596
800,Heian Japan,JPN,4408137.468986094
850,Kingdom of Brycheiniog,GBR,5157.061632156372
850,Kingdom of Morgannwg,GBR,3358.3277683258057
850,Pandya Dynasty,IND,5419916.176992416
850,Zapotec Civilization,MEX,195077.70932769772
850,Alodia,SDN,299557.9617760405
850,Anurādhapura,LKA,724999.9993349463
850,Chámpa,LAO,136.797796945199
850,Chámpa,VNM,108202.88514896193
850,Brythons,GBR,29862.88396024704
850,Haripuñjaya,LAO,5537.939510222294
850,Haripuñjaya,MMR,2165.7453073209817
850,Haripuñjaya,THA,184915.3622450922
850,Unified Silla,KOR,1205472.6597016319
850,Unified Silla,PRK,522271.00526495144
850,Volga Bulgaria,RUS,49475.14471845701
850,Cyprus Condominium,CYP,187500.00033569336
850,Kingdom of Powys,GBR,16471.67595100403
850,Republic of Venice,HRV,22417.714296234037
850,Republic of Venice,ITA,48841.5584453233
850,Republic of Venice,SVN,159.42417502286239
850,Kingdom of Gwynedd,GBR,13809.931359291077
850,Classic Veracruz Culture,MEX,280007.27254763246
850,Cornwall,GBR,21724.25248146057
850,Srivijaya,IDN,405402.6250706723
850,Srivijaya,MYS,170520.9516612857
850,Srivijaya,SGP,540.1897980376878
850,Srivijaya,THA,81703.47959601524
850,Mataram Kingdom,IDN,1012663.807135582
850,Kingdom of Northumbria,GBR,158586.42744874954
850,Strathclyde,GBR,22805.56155467033
850,Rustamid dynasty,DZA,671442.0164176709
850,Rustamid dynasty,LBY,181459.65450971312
850,Rustamid dynasty,TUN,121665.66009955
850,Georgia,GEO,60817.76769246368
850,Georgia,RUS,7132.420142825862
850,Georgia,TUR,187.10534922926314
850,Oghuz Turks,KAZ,31321.379696850643
850,Oghuz Turks,TKM,2251.32973549431
850,Oghuz Turks,UZB,6054.542239034481
850,Idrisids,DZA,189529.5688153793
850,Idrisids,MAR,1132384.1434442115
850,Ghana Empire,MLI,123069.88597220127
850,Ghana Empire,MRT,65447.37167468165
850,Barghawata Conference,MAR,241633.6713819504
850,Emirate of Nekor,DZA,0.7726967722425007
850,Emirate of Nekor,MAR,56520.54050608573
850,Lavo Kingdom,MMR,872.1281302703536
850,Lavo Kingdom,THA,374155.05092206766
850,Kingdom of Axum,ERI,78649.11729218598
850,Kingdom of Axum,ETH,131015.93488809685
850,Khmer Empire,KHM,602199.425804555
850,Khmer Empire,LAO,171599.237690486
850,Khmer Empire,THA,339794.77137953474
850,Khmer Empire,VNM,353874.33312869444
850,Obotrites,DEU,107426.21877801418
850,Heian Japan,JPN,4952230.589516908
850,Kingdom of Asturias,ESP,930673.263690543
850,Kingdom of Asturias,PRT,169180.0851027848
850,Emirate of Córdoba,ESP,2144777.884394985
850,Emirate of Córdoba,PRT,435989.6203352397
850,Kingdom of Brittany,FRA,267811.78102207184
850,Sunda Kingdom,IDN,636291.5008535385
850,Scandinavian minor kingdoms,DEU,11288.633220176476
850,Scandinavian minor kingdoms,DNK,92246.31730559944
850,Scandinavian minor kingdoms,NOR,444963.6517371209
850,Scandinavian minor kingdoms,RUS,92.11984696298383
850,Scandinavian minor kingdoms,SWE,322346.38297853427
850,Emirate of Crete,GRC,48166.204698085785
850,Dál Riata,GBR,77952.61112049222
850,Khazaria,AZE,116.28789802567626
850,Khazaria,GEO,319.54831717916977
850,Khazaria,KAZ,65206.42436172149
850,Khazaria,RUS,359988.3846208043
850,Khazaria,UKR,73963.78105273837
850,Magyars,MDA,49398.64300211624
850,Magyars,POL,2815.276859483241
850,Magyars,ROU,98596.30345122975
850,Magyars,RUS,29643.233036031746
850,Magyars,UKR,569318.3505257459
850,Kingdom of East Anglia,GBR,43164.77551746368
850,Principality of Salerno,ITA,169516.64135169983
850,Kamarupa Kingdom,BGD,22393.27421818501
850,Kamarupa Kingdom,IND,1550419.8768074568
850,Kamarupa Kingdom,MMR,3931.045927177975
850,Duchy of Naples,ITA,230184.55981445312
850,Kingdom of Mercia,GBR,279296.9961423874
850,Kingdom of Gwent,GBR,4742.61262512207
850,Principality of Capua,ITA,8638.5283203125
850,Kingdom of Wessex,GBR,229411.05204820636
850,Kingdom of the Iberians,ARM,281.940690819081
850,Kingdom of the Iberians,GEO,1814.9811355542804
850,Kingdom of the Iberians,TUR,117688.78661875841
850,Pala Empire,BGD,9431507.17193331
850,Pala Empire,IND,26199674.956603657
