country_iso,year,gdppc
PRT,1950,3325.0
PRT,2000,23372.0401
PRT,2015,24915.0
PRY,1950,2391.0
PRY,2000,4896.4295
PRY,2015,8539.0
PSE,1900,1772.6279069767443
PSE,1950,1549.0
PSE,2000,5377.3935
PSE,2015,5003.0
QAT,1950,48436.0
QAT,2000,45788.1227
QAT,2015,156029.0
ROU,1900,615.0
ROU,1950,824.0
ROU,2000,7089.9461
ROU,2015,19320.0
RUS,2000,10552.8846
RUS,2015,23691.0
RWA,1950,1020.0
RWA,2000,1023.6182
RWA,2015,1693.0
SAU,1850,816.2
SAU,1900,917.6046511627907
SAU,1950,3556.0
SAU,2000,23904.5154
SAU,2015,51681.0
SDN,1950,1309.0
SDN,2000,1951.4658
SDN,2015,3625.0
SEN,1950,2007.0
SEN,2000,1983.524
SEN,2015,2311.0
SGP,1900,2206.0
SGP,1950,3572.0
SGP,2000,37772.7597
SGP,2015,65660.0
SLE,1950,902.0
SLE,2000,828.7939
SLE,2015,1563.0
SLV,1950,2375.0
SLV,2000,5403.7147
