polity_id,year,urban_pop
Danishmendids,1100,45000.0
Danishmendids,1150,40000.0
Democratic People's Republic of Korea,1950,400000.0
Democratic People's Republic of Korea,2000,2741000.0
Democratic People's Republic of Korea,2015,2741000.0
Democratic Republic of the Congo,2000,2664000.0
Democratic Republic of the Congo,2015,2664000.0
Denmark-Norway,1550,48445.97390528645
Denmark-Norway,1600,42633.05630973023
Denmark-Norway,1650,28555.97014925373
Denmark-Norway,1700,24254.4420753376
Denmark-Norway,1750,19952.914001421464
Denmark-Norway,1800,19944.21875
Denmark-Norway,1900,155000.0
Despotate of Vidin,1400,12641.509433962266
Dominican Republic,2000,2677000.0
Dominican Republic,2015,2677000.0
Duchy of Aquitaine,1000,15000.0
Duchy of Aquitaine,1050,16807.22891566265
Duchy of Athens,1250,26785.714285714283
Duchy of Athens,1300,25000.0
Duchy of Bavaria,1500,47000.0
Duchy of Bavaria,1550,55375.0
Duchy of Bavaria,1600,62000.0
Duchy of Bavaria,1650,83926.87315634219
Duchy of Bavaria,1700,93157.81710914454
Duchy of Bavaria,1750,101250.0
Duchy of Bavaria,1800,143732.51428571428
Duchy of Bohemia,1000,15000.0
Duchy of Brunswick,1850,40000.0
Duchy of Burgundy,1400,107856.86653771761
Duchy of Burgundy,1450,100462.41317623536
Duchy of Holstein,1850,23000.0
Duchy of Lorraine,1700,7997.857142857143
Duchy of Milan,1500,181083.0058701466
Duchy of Parma and Piacenza,1850,76591.85714285714
Duchy of Prussia,1550,14000.0
Duchy of Prussia,1600,25000.0
Duchy of Warsaw,1850,160000.0
Durrani Empire,1750,30720.338983050846
Durrani Empire,1800,396607.07548715355
Dutch East Indies,1800,133071.7474048443
Dutch East Indies,1850,246000.0
Dutch East Indies,1900,540000.0
Dutch Republic,1600,96386.06313281716
Dutch Republic,1650,19862.068965517243
Dutch Republic,1700,396532.7102803738
Dutch Republic,1750,348053.51111111115
Dzungar Khanate,1700,65356.557377049176
Dzungar Khanate,1750,61237.70491803279
Early Pandyas,100,50000.0
Early Pandyas,150,51915.708812260535
Early Pandyas,200,53831.41762452108
Early Pandyas,250,55747.12643678161
Early Pandyas,300,57662.835249042146
East Franks,900,25664.556962025315
Eastern Chagatai Khanate,1500,30000.0
Eastern Ganga Kingdom,1250,100000.0
Eastern Ganga Kingdom,1300,90000.0
Eastern Ganga Kingdom,1350,90000.0
Eastern Hungarian Kingdom,1550,6575.757575757576
Eastern Kara-Khanids,1050,95675.8328926494
Eastern Kara-Khanids,1100,100992.46430460074
Eastern Kushans,250,161110.2661596958
Eastern Kushans,300,100000.0
