polity_id,year,urban_pop
Golden Horde,1600,55000.0
Goryeo,950,111322.75132275133
Goryeo,1000,110000.0
Goryeo,1050,110357.14285714286
Goryeo,1100,110714.28571428571
Goryeo,1150,91071.42857142858
Goryeo,1200,81428.57142857142
Goryeo,1250,81785.71428571429
Grand Duchy of Hesse,1850,9822.727272727272
Grand Duchy of Lithuania,1350,60000.0
Grand Duchy of Saxe-Weimar-Eisenach,1850,32462.666666666668
Grand Principality of Moscow,1350,34385.9649122807
Grand Principality of Moscow,1400,30000.0
Grand Principality of Moscow,1450,81192.62295081967
Grand Principality of Moscow,1500,160430.74364457116
Great Jin,1150,1869226.9269536878
Great Jin,1200,1873955.797430731
Great Seljuk Empire,1050,477757.57575757575
Great Seljuk Empire,1100,1466118.248678653
Great Seljuk Empire,1150,1165869.7255574614
Great Seljuk Empire,1200,791932.7172177205
Greco-Bactrian Kingdom,-200,220000.0
Greco-Bactrian Kingdom,-150,368073.6301369863
Greek City-States,-800,32311.68831168831
Greek City-States,-750,33350.64935064935
Greek City-States,-700,34389.61038961039
Greek City-States,-650,85428.57142857142
Greek City-States,-600,36467.53246753247
Greek City-States,-550,37506.493506493505
Greek City-States,-500,38545.454545454544
Greek City-States,-450,39584.41558441558
Greek City-States,-400,37608.69565217391
Greek City-States,-350,102108.03689064558
Greek City-States,-325,72065.21739130435
Greek City-States,-320,135115.9420289855
Greek City-States,-300,157832.674571805
Greek City-States,-200,129242.42424242424
Greek City-States,-150,87121.21212121211
Greek City-States,-100,105000.0
Greek Dark Ages,-1000,28155.844155844155
Greek Dark Ages,-950,29194.805194805194
Greek Dark Ages,-900,30233.766233766233
Greek Dark Ages,-850,31272.727272727272
Guatemala,1850,40000.0
Guatemala,1900,74000.0
Guatemala,1950,284000.0
Guatemala,2000,1007000.0
Guatemala,2015,1007000.0
Gupta Empire,350,316077.46216357267
Gupta Empire,400,310475.31739382615
Gupta Empire,450,286676.2159751031
Gupta Empire,500,205871.2272561277
Gupta Empire,550,203569.18218727846
Gurjara-Pratihara Dynasty,750,113456.68629100083
Gurjara-Pratihara Dynasty,800,132454.92090191838
Gurjara-Pratihara Dynasty,850,333037.1949217029
Gurjara-Pratihara Dynasty,900,453619.46894148743
Gurjara-Pratihara Dynasty,950,200109.22824302135
Gurjara-Pratihara Dynasty,1000,172000.0
